Frequency (Hz),Frequency (rad/sec),Gain (V/V),Gain (dB),Phase (Deg),Phase (Rad),Group Delay (uSec),
0.001,0.006,1,0,180,3.142,225.077,
10,62.832,1,0,179.19,3.127,225.099,
10.116,63.559,1,0,179.18,3.127,225.1,
10.233,64.295,1,0,179.171,3.127,225.1,
10.351,65.04,1,0,179.161,3.127,225.101,
10.471,65.793,1,0,179.152,3.127,225.102,
10.593,66.555,1,0,179.142,3.127,225.102,
10.715,67.326,1,0,179.132,3.126,225.103,
10.839,68.105,1,0,179.122,3.126,225.103,
10.965,68.894,1,0,179.112,3.126,225.104,
11.092,69.692,1,0,179.101,3.126,225.105,
11.22,70.498,1,0,179.091,3.126,225.105,
11.35,71.315,1,0,179.08,3.126,225.106,
11.482,72.141,1,0,179.07,3.125,225.107,
11.614,72.976,1,0,179.059,3.125,225.107,
11.749,73.821,1,0,179.048,3.125,225.108,
11.885,74.676,1,0,179.037,3.125,225.109,
12.023,75.541,1,0,179.026,3.125,225.109,
12.162,76.415,1,0,179.015,3.124,225.11,
12.303,77.3,1,0,179.003,3.124,225.111,
12.445,78.195,1,0,178.992,3.124,225.112,
12.589,79.101,1,0,178.98,3.124,225.113,
12.735,80.017,1,0,178.968,3.124,225.113,
12.882,80.943,1,0,178.956,3.123,225.114,
13.032,81.88,1,0,178.944,3.123,225.115,
13.183,82.829,1,0,178.932,3.123,225.116,
13.335,83.788,1,0,178.919,3.123,225.117,
13.49,84.758,1,0,178.907,3.123,225.118,
13.646,85.739,1,0,178.894,3.122,225.119,
13.804,86.732,1,0,178.881,3.122,225.12,
13.964,87.736,1,0,178.868,3.122,225.121,
14.125,88.752,1,0,178.855,3.122,225.122,
14.289,89.78,1,0,178.842,3.121,225.123,
14.454,90.82,1,0,178.829,3.121,225.124,
14.622,91.871,1,0,178.815,3.121,225.125,
14.791,92.935,1,0,178.801,3.121,225.126,
14.962,94.011,1,0,178.788,3.12,225.127,
15.136,95.1,1,0,178.774,3.12,225.128,
15.311,96.201,1,0,178.759,3.12,225.13,
15.488,97.315,1,0,178.745,3.12,225.131,
15.668,98.442,1,0,178.73,3.119,225.132,
15.849,99.582,1,0,178.716,3.119,225.133,
16.032,100.735,1,0,178.701,3.119,225.135,
16.218,101.901,1,0,178.686,3.119,225.136,
16.406,103.081,1,0,178.671,3.118,225.137,
16.596,104.275,1,0,178.655,3.118,225.139,
16.788,105.482,1,0,178.64,3.118,225.14,
16.982,106.704,1,0,178.624,3.118,225.142,
17.179,107.939,1,0,178.608,3.117,225.143,
17.378,109.189,1,0,178.592,3.117,225.145,
17.579,110.454,1,0,178.575,3.117,225.146,
17.783,111.733,1,0,178.559,3.116,225.148,
17.989,113.026,1,0,178.542,3.116,225.15,
18.197,114.335,1,0,178.525,3.116,225.151,
18.408,115.659,1,0,178.508,3.116,225.153,
18.621,116.998,1,0,178.491,3.115,225.155,
18.836,118.353,1,0,178.474,3.115,225.157,
19.055,119.724,1,0,178.456,3.115,225.159,
19.275,121.11,1,0,178.438,3.114,225.161,
19.498,122.512,1,0,178.42,3.114,225.162,
19.724,123.931,1,0,178.402,3.114,225.164,
19.953,125.366,1,0,178.383,3.113,225.166,
20.184,126.818,1,0,178.364,3.113,225.169,
20.417,128.286,1,0,178.345,3.113,225.171,
20.654,129.772,1,0,178.326,3.112,225.173,
20.893,131.274,1,0,178.307,3.112,225.175,
21.135,132.794,1,0,178.287,3.112,225.177,
21.38,134.332,1,0,178.267,3.111,225.18,
21.627,135.888,1,0,178.247,3.111,225.182,
21.878,137.461,1,0,178.227,3.111,225.185,
22.131,139.053,1,0,178.206,3.11,225.187,
22.387,140.663,1,0,178.186,3.11,225.19,
22.646,142.292,1,0,178.165,3.11,225.192,
22.909,143.939,1,0,178.143,3.109,225.195,
23.174,145.606,1,0,178.122,3.109,225.198,
23.442,147.292,1,0,178.1,3.108,225.201,
23.714,148.998,1,0,178.078,3.108,225.203,
23.988,150.723,1,0,178.056,3.108,225.206,
24.266,152.468,1,0,178.033,3.107,225.209,
24.547,154.234,1,0,178.011,3.107,225.212,
24.831,156.02,1,0,177.988,3.106,225.216,
25.119,157.826,1,0,177.964,3.106,225.219,
25.41,159.654,1,0,177.941,3.106,225.222,
25.704,161.503,1,0,177.917,3.105,225.226,
26.002,163.373,1,0,177.893,3.105,225.229,
26.303,165.265,1,0,177.868,3.104,225.233,
26.607,167.178,1,0,177.844,3.104,225.236,
26.915,169.114,1,0,177.819,3.104,225.24,
27.227,171.072,1,0,177.793,3.103,225.244,
27.542,173.053,1,0,177.768,3.103,225.248,
27.861,175.057,1,0,177.742,3.102,225.252,
28.184,177.084,1,0,177.716,3.102,225.256,
28.51,179.135,1,0,177.689,3.101,225.26,
28.84,181.209,1,0,177.662,3.101,225.264,
29.174,183.307,1,0,177.635,3.1,225.268,
29.512,185.43,1,0,177.608,3.1,225.273,
29.854,187.577,1,0,177.58,3.099,225.277,
30.2,189.749,1,0,177.552,3.099,225.282,
30.549,191.946,1,0,177.524,3.098,225.287,
30.903,194.169,1,0,177.495,3.098,225.292,
31.261,196.417,1,0,177.466,3.097,225.297,
31.623,198.692,1,0,177.437,3.097,225.302,
31.989,200.993,1,0,177.407,3.096,225.307,
32.359,203.32,1,0,177.377,3.096,225.312,
32.734,205.674,1,0,177.347,3.095,225.318,
33.113,208.056,1,0,177.316,3.095,225.323,
33.497,210.465,1,0,177.285,3.094,225.329,
33.884,212.902,1,0,177.253,3.094,225.335,
34.277,215.367,1,0,177.222,3.093,225.341,
34.674,217.861,1,0,177.189,3.093,225.347,
35.075,220.384,1,0,177.157,3.092,225.353,
35.481,222.936,1,0,177.124,3.091,225.36,
35.892,225.517,1,0,177.09,3.091,225.367,
36.308,228.129,1,0,177.057,3.09,225.373,
