,CH1,CH3
Second,Volt,Volt
-6.00000e-02,2.23e+00,8.20e-02, 
-5.98000e-02,2.18e+00,4.10e-02, 
-5.96000e-02,2.20e+00,8.20e-02, 
-5.94000e-02,2.23e+00,7.38e-02, 
-5.92000e-02,2.20e+00,8.20e-02, 
-5.90000e-02,2.23e+00,1.97e-01, 
-5.88000e-02,2.23e+00,1.72e-01, 
-5.86000e-02,2.18e+00,2.05e-01, 
-5.84000e-02,2.20e+00,1.89e-01, 
-5.82000e-02,2.23e+00,2.38e-01, 
-5.80000e-02,2.23e+00,2.30e-01, 
-5.78000e-02,2.20e+00,2.62e-01, 
-5.76000e-02,2.23e+00,2.62e-01, 
-5.74000e-02,2.20e+00,2.30e-01, 
-5.72000e-02,2.20e+00,2.54e-01, 
-5.70000e-02,2.23e+00,3.20e-01, 
-5.68000e-02,2.23e+00,3.20e-01, 
-5.66000e-02,2.20e+00,3.36e-01, 
-5.64000e-02,2.20e+00,3.20e-01, 
-5.62000e-02,2.23e+00,3.85e-01, 
-5.60000e-02,2.20e+00,3.61e-01, 
-5.58000e-02,2.23e+00,3.94e-01, 
-5.56000e-02,2.23e+00,3.69e-01, 
-5.54000e-02,2.20e+00,4.02e-01, 
-5.52000e-02,2.23e+00,3.77e-01, 
-5.50000e-02,2.18e+00,4.43e-01, 
-5.48000e-02,2.23e+00,4.35e-01, 
-5.46000e-02,2.18e+00,4.59e-01, 
-5.44000e-02,2.23e+00,4.67e-01, 
-5.42000e-02,2.18e+00,4.26e-01, 
-5.40000e-02,2.23e+00,4.43e-01, 
-5.38000e-02,2.20e+00,4.26e-01, 
-5.36000e-02,2.23e+00,4.26e-01, 
-5.34000e-02,2.18e+00,4.67e-01, 
-5.32000e-02,2.18e+00,4.43e-01, 
-5.30000e-02,2.23e+00,4.84e-01, 
-5.28000e-02,2.18e+00,4.43e-01, 
-5.26000e-02,2.23e+00,4.76e-01, 
-5.24000e-02,2.20e+00,4.51e-01, 
-5.22000e-02,2.23e+00,4.92e-01, 
-5.20000e-02,2.23e+00,4.67e-01, 
-5.18000e-02,2.20e+00,5.08e-01, 
-5.16000e-02,2.23e+00,5.08e-01, 
-5.14000e-02,2.18e+00,4.76e-01, 
-5.12000e-02,2.23e+00,4.92e-01, 
-5.10000e-02,2.20e+00,5.25e-01, 
-5.08000e-02,2.20e+00,5.17e-01, 
-5.06000e-02,2.23e+00,4.92e-01, 
-5.04000e-02,2.20e+00,4.92e-01, 
-5.02000e-02,2.23e+00,5.49e-01, 
-5.00000e-02,2.20e+00,4.84e-01, 
-4.98000e-02,2.23e+00,5.25e-01, 
-4.96000e-02,2.23e+00,5.25e-01, 
-4.94000e-02,2.20e+00,4.92e-01, 
-4.92000e-02,2.23e+00,5.00e-01, 
-4.90000e-02,2.18e+00,5.25e-01, 
-4.88000e-02,2.23e+00,5.33e-01, 
-4.86000e-02,2.20e+00,5.08e-01, 
-4.84000e-02,2.23e+00,5.25e-01, 
-4.82000e-02,2.20e+00,5.58e-01, 
-4.80000e-02,2.20e+00,5.33e-01, 
-4.78000e-02,2.23e+00,5.58e-01, 
-4.76000e-02,2.20e+00,5.58e-01, 
-4.74000e-02,2.23e+00,5.33e-01, 
-4.72000e-02,2.20e+00,5.41e-01, 
-4.70000e-02,2.23e+00,5.66e-01, 
