,CH1,CH2,CH4
Second,Volt,Volt,Volt
-3.00000e-01,5.68e+00,2.56e+00,-8.00e-02, 
-2.99000e-01,5.60e+00,2.40e+00,-4.00e-02, 
-2.98000e-01,5.68e+00,2.48e+00,-4.00e-02, 
-2.97000e-01,5.68e+00,2.24e+00,-8.00e-02, 
-2.96000e-01,5.68e+00,2.24e+00,-8.00e-02, 
-2.95000e-01,5.60e+00,2.48e+00,-4.00e-02, 
-2.94000e-01,5.68e+00,2.40e+00,-8.00e-02, 
-2.93000e-01,5.68e+00,2.56e+00,-4.00e-02, 
-2.92000e-01,5.68e+00,2.56e+00,-4.00e-02, 
-2.91000e-01,5.68e+00,2.40e+00,-8.00e-02, 
-2.90000e-01,5.68e+00,2.56e+00,-4.00e-02, 
-2.89000e-01,5.60e+00,2.48e+00,-8.00e-02, 
-2.88000e-01,5.68e+00,2.48e+00,-4.00e-02, 
-2.87000e-01,5.60e+00,2.56e+00,-8.00e-02, 
-2.86000e-01,5.68e+00,2.56e+00,-4.00e-02, 
-2.85000e-01,5.60e+00,2.48e+00,-8.00e-02, 
-2.84000e-01,5.60e+00,2.56e+00,-8.00e-02, 
-2.83000e-01,5.68e+00,2.56e+00,-4.00e-02, 
-2.82000e-01,5.68e+00,2.56e+00,-4.00e-02, 
-2.81000e-01,5.60e+00,2.64e+00,-8.00e-02, 
-2.80000e-01,5.68e+00,2.72e+00,-4.00e-02, 
-2.79000e-01,5.60e+00,2.56e+00,-8.00e-02, 
-2.78000e-01,5.68e+00,2.56e+00,-8.00e-02, 
-2.77000e-01,5.60e+00,2.72e+00,-4.00e-02, 
-2.76000e-01,5.68e+00,2.72e+00,-8.00e-02, 
-2.75000e-01,5.60e+00,2.64e+00,-4.00e-02, 
-2.74000e-01,5.68e+00,2.64e+00,-4.00e-02, 
-2.73000e-01,5.60e+00,2.72e+00,-8.00e-02, 
-2.72000e-01,5.68e+00,2.72e+00,-4.00e-02, 
-2.71000e-01,5.60e+00,2.80e+00,-8.00e-02, 
-2.70000e-01,5.68e+00,2.80e+00,-8.00e-02, 
-2.69000e-01,5.60e+00,2.72e+00,-4.00e-02, 
-2.68000e-01,5.68e+00,2.72e+00,-4.00e-02, 
-2.67000e-01,5.60e+00,2.80e+00,-8.00e-02, 
-2.66000e-01,5.60e+00,2.80e+00,-4.00e-02, 
-2.65000e-01,5.68e+00,2.88e+00,-8.00e-02, 
-2.64000e-01,5.68e+00,2.88e+00,-4.00e-02, 
-2.63000e-01,5.60e+00,2.80e+00,-8.00e-02, 
-2.62000e-01,5.68e+00,2.80e+00,-4.00e-02, 
-2.61000e-01,5.60e+00,2.80e+00,-8.00e-02, 
