,CH1,CH2,
Second,Volt,Volt,
-6.00000000E-01,-2.03E+00,-3.81E+00, 
-5.99927000E-01,-2.03E+00,-3.81E+00, 
-5.99854000E-01,-2.03E+00,-3.81E+00, 
-5.99780000E-01,-2.03E+00,-3.81E+00, 
-5.99707000E-01,-2.03E+00,-3.81E+00, 
-5.99634000E-01,-2.03E+00,-3.81E+00, 
-5.99561000E-01,-2.00E+00,-3.81E+00, 
-5.99487000E-01,-2.00E+00,-3.81E+00, 
-5.99414000E-01,-2.00E+00,-3.85E+00, 
-5.99341000E-01,-1.98E+00,-3.81E+00, 
-5.99268000E-01,-1.98E+00,-3.81E+00, 
-5.99194000E-01,-2.00E+00,-3.81E+00, 
-5.99121000E-01,-2.00E+00,-3.81E+00, 
-5.99048000E-01,-2.00E+00,-3.81E+00, 
-5.98975000E-01,-2.00E+00,-3.76E+00, 
-5.98901000E-01,-2.00E+00,-3.76E+00, 
-5.98828000E-01,-2.00E+00,-3.76E+00, 
-5.98755000E-01,-2.00E+00,-3.76E+00, 
-5.98682000E-01,-2.00E+00,-3.76E+00, 
-5.98608000E-01,-2.00E+00,-3.76E+00, 
-5.98535000E-01,-1.98E+00,-3.76E+00, 
-5.98462000E-01,-1.98E+00,-3.72E+00, 
-5.98389000E-01,-2.00E+00,-3.76E+00, 
-5.98315000E-01,-2.00E+00,-3.76E+00, 
-5.98242000E-01,-2.00E+00,-3.72E+00, 
-5.98169000E-01,-2.00E+00,-3.76E+00, 
-5.98096000E-01,-2.00E+00,-3.72E+00, 
-5.98022000E-01,-1.98E+00,-3.72E+00, 
-5.97949000E-01,-1.98E+00,-3.72E+00, 
-5.97876000E-01,-2.00E+00,-3.72E+00, 
-5.97803000E-01,-1.98E+00,-3.72E+00, 
-5.97730000E-01,-2.00E+00,-3.72E+00, 
-5.97656000E-01,-2.00E+00,-3.72E+00, 
-5.97583000E-01,-2.00E+00,-3.72E+00, 
-5.97510000E-01,-1.98E+00,-3.72E+00, 
-5.97437000E-01,-2.00E+00,-3.72E+00, 
-5.97363000E-01,-2.00E+00,-3.72E+00, 
-5.97290000E-01,-2.00E+00,-3.72E+00, 
-5.97217000E-01,-2.00E+00,-3.72E+00, 
-5.97144000E-01,-1.98E+00,-3.63E+00, 
-5.97070000E-01,-2.03E+00,-3.63E+00, 
-5.96997000E-01,-2.00E+00,-3.63E+00, 
-5.96924000E-01,-2.00E+00,-3.58E+00, 
-5.96851000E-01,-1.98E+00,-3.54E+00, 
-5.96777000E-01,-2.00E+00,-3.58E+00, 
-5.96704000E-01,-1.98E+00,-3.58E+00, 
-5.96631000E-01,-1.98E+00,-3.58E+00, 
-5.96558000E-01,-1.98E+00,-3.58E+00, 
-5.96484000E-01,-2.00E+00,-3.58E+00, 
-5.96411000E-01,-2.00E+00,-3.58E+00, 
-5.96338000E-01,-2.00E+00,-3.58E+00, 
-5.96265000E-01,-2.00E+00,-3.58E+00, 
-5.96191000E-01,-2.00E+00,-3.58E+00, 
-5.96118000E-01,-2.00E+00,-3.58E+00, 
-5.96045000E-01,-2.00E+00,-3.58E+00, 
-5.95972000E-01,-2.00E+00,-3.63E+00, 
-5.95898000E-01,-1.98E+00,-3.63E+00, 
-5.95825000E-01,-2.00E+00,-3.63E+00, 
-5.95752000E-01,-2.00E+00,-3.63E+00, 
-5.95679000E-01,-1.98E+00,-3.63E+00, 
-5.95605000E-01,-1.98E+00,-3.63E+00, 
-5.95532000E-01,-2.03E+00,-3.63E+00, 
-5.95459000E-01,-2.00E+00,-3.58E+00, 
-5.95386000E-01,-1.95E+00,-3.58E+00, 
-5.95313000E-01,-2.00E+00,-3.63E+00, 
-5.95239000E-01,-2.00E+00,-3.63E+00, 
-5.95166000E-01,-2.00E+00,-3.63E+00, 
-5.95093000E-01,-2.00E+00,-3.63E+00, 
-5.95020000E-01,-2.00E+00,-3.63E+00, 
-5.94946000E-01,-2.00E+00,-3.63E+00, 
-5.94873000E-01,-2.00E+00,-3.63E+00, 
-5.94800000E-01,-2.00E+00,-3.67E+00, 
-5.94727000E-01,-2.00E+00,-3.63E+00, 
-5.94653000E-01,-1.98E+00,-3.63E+00, 
-5.94580000E-01,-1.98E+00,-3.63E+00, 
-5.94507000E-01,-1.98E+00,-3.63E+00, 
-5.94434000E-01,-2.00E+00,-3.63E+00, 
-5.94360000E-01,-1.98E+00,-3.63E+00, 
-5.94287000E-01,-2.00E+00,-3.63E+00, 
-5.94214000E-01,-2.03E+00,-3.67E+00, 
-5.94141000E-01,-1.98E+00,-3.67E+00, 
-5.94067000E-01,-1.98E+00,-3.72E+00, 
-5.93994000E-01,-1.98E+00,-3.72E+00, 
-5.93921000E-01,-1.98E+00,-3.72E+00, 
-5.93848000E-01,-1.98E+00,-3.72E+00, 
-5.93774000E-01,-1.98E+00,-3.72E+00, 
-5.93701000E-01,-1.98E+00,-3.72E+00, 
-5.93628000E-01,-1.98E+00,-3.76E+00, 
-5.93555000E-01,-1.98E+00,-3.72E+00, 
-5.93481000E-01,-2.00E+00,-3.76E+00, 
-5.93408000E-01,-1.95E+00,-3.76E+00, 
-5.93335000E-01,-1.95E+00,-3.72E+00, 
-5.93262000E-01,-1.98E+00,-3.76E+00, 
-5.93189000E-01,-2.00E+00,-3.72E+00, 
-5.93115000E-01,-2.00E+00,-3.72E+00, 
-5.93042000E-01,-1.98E+00,-3.72E+00, 
-5.92969000E-01,-2.03E+00,-3.67E+00, 
-5.92896000E-01,-2.00E+00,-3.63E+00, 
-5.92822000E-01,-1.98E+00,-3.63E+00, 
-5.92749000E-01,-1.98E+00,-3.63E+00, 
-5.92676000E-01,-1.98E+00,-3.67E+00, 
-5.92603000E-01,-1.98E+00,-3.67E+00, 
-5.92529000E-01,-2.00E+00,-3.63E+00, 
-5.92456000E-01,-2.00E+00,-3.63E+00, 
-5.92383000E-01,-2.00E+00,-3.67E+00, 
-5.92310000E-01,-1.98E+00,-3.63E+00, 
-5.92236000E-01,-1.95E+00,-3.63E+00, 
-5.92163000E-01,-2.03E+00,-3.63E+00, 
-5.92090000E-01,-1.98E+00,-3.58E+00, 
-5.92017000E-01,-2.00E+00,-3.63E+00, 
-5.91943000E-01,-1.98E+00,-3.58E+00, 
-5.91870000E-01,-1.98E+00,-3.58E+00, 
-5.91797000E-01,-2.00E+00,-3.63E+00, 
-5.91724000E-01,-2.00E+00,-3.63E+00, 
-5.91650000E-01,-1.98E+00,-3.58E+00, 
-5.91577000E-01,-1.98E+00,-3.58E+00, 
-5.91504000E-01,-1.98E+00,-3.58E+00, 
-5.91431000E-01,-1.98E+00,-3.58E+00, 
-5.91357000E-01,-1.95E+00,-3.58E+00, 
-5.91284000E-01,-1.98E+00,-3.58E+00, 
-5.91211000E-01,-2.00E+00,-3.63E+00, 
-5.91138000E-01,-1.98E+00,-3.58E+00, 
-5.91064000E-01,-2.00E+00,-3.58E+00, 
-5.90991000E-01,-2.00E+00,-3.58E+00, 
-5.90918000E-01,-2.00E+00,-3.58E+00, 
-5.90845000E-01,-2.00E+00,-3.58E+00, 
-5.90771000E-01,-2.00E+00,-3.58E+00, 
-5.90698000E-01,-1.98E+00,-3.58E+00, 
-5.90625000E-01,-1.98E+00,-3.58E+00, 
-5.90552000E-01,-1.98E+00,-3.58E+00, 
-5.90479000E-01,-1.98E+00,-3.63E+00, 
-5.90405000E-01,-2.00E+00,-3.58E+00, 
-5.90332000E-01,-2.00E+00,-3.58E+00, 
-5.90259000E-01,-2.00E+00,-3.58E+00, 
-5.90186000E-01,-2.00E+00,-3.63E+00, 
-5.90112000E-01,-2.00E+00,-3.67E+00, 
-5.90039000E-01,-1.98E+00,-3.72E+00, 
-5.89966000E-01,-2.00E+00,-3.67E+00, 
-5.89893000E-01,-1.98E+00,-3.72E+00, 
-5.89819000E-01,-1.95E+00,-3.72E+00, 
-5.89746000E-01,-2.03E+00,-3.72E+00, 
-5.89673000E-01,-2.00E+00,-3.72E+00, 
-5.89600000E-01,-1.98E+00,-3.72E+00, 
-5.89526000E-01,-2.00E+00,-3.72E+00, 
-5.89453000E-01,-2.00E+00,-3.67E+00, 
-5.89380000E-01,-2.03E+00,-3.72E+00, 
-5.89307000E-01,-1.98E+00,-3.67E+00, 
-5.89233000E-01,-2.00E+00,-3.72E+00, 
-5.89160000E-01,-1.98E+00,-3.72E+00, 
-5.89087000E-01,-1.95E+00,-3.72E+00, 
-5.89014000E-01,-1.98E+00,-3.72E+00, 
-5.88940000E-01,-2.00E+00,-3.72E+00, 
-5.88867000E-01,-2.00E+00,-3.72E+00, 
-5.88794000E-01,-2.00E+00,-3.72E+00, 
-5.88721000E-01,-1.98E+00,-3.72E+00, 
-5.88647000E-01,-1.98E+00,-3.72E+00, 
-5.88574000E-01,-1.98E+00,-3.72E+00, 
-5.88501000E-01,-2.00E+00,-3.72E+00, 
-5.88428000E-01,-2.00E+00,-3.72E+00, 
-5.88355000E-01,-1.98E+00,-3.72E+00, 
-5.88281000E-01,-1.98E+00,-3.72E+00, 
-5.88208000E-01,-2.00E+00,-3.67E+00, 
-5.88135000E-01,-2.00E+00,-3.67E+00, 
-5.88062000E-01,-2.00E+00,-3.67E+00, 
-5.87988000E-01,-1.98E+00,-3.67E+00, 
-5.87915000E-01,-2.00E+00,-3.63E+00, 
-5.87842000E-01,-1.98E+00,-3.63E+00, 
-5.87769000E-01,-2.00E+00,-3.63E+00, 
-5.87695000E-01,-1.98E+00,-3.63E+00, 
-5.87622000E-01,-2.00E+00,-3.63E+00, 
-5.87549000E-01,-2.00E+00,-3.63E+00, 
-5.87476000E-01,-1.98E+00,-3.63E+00, 
-5.87402000E-01,-1.98E+00,-3.63E+00, 
-5.87329000E-01,-2.00E+00,-3.63E+00, 
-5.87256000E-01,-1.98E+00,-3.54E+00, 
-5.87183000E-01,-1.98E+00,-3.49E+00, 
-5.87109000E-01,-2.00E+00,-3.49E+00, 
-5.87036000E-01,-2.00E+00,-3.45E+00, 
-5.86963000E-01,-1.98E+00,-3.40E+00, 
-5.86890000E-01,-1.98E+00,-3.40E+00, 
-5.86816000E-01,-1.95E+00,-3.40E+00, 
-5.86743000E-01,-1.98E+00,-3.40E+00, 
-5.86670000E-01,-2.00E+00,-3.40E+00, 
-5.86597000E-01,-1.95E+00,-3.40E+00, 
-5.86523000E-01,-1.98E+00,-3.40E+00, 
-5.86450000E-01,-1.98E+00,-3.40E+00, 
-5.86377000E-01,-2.00E+00,-3.40E+00, 
-5.86304000E-01,-2.00E+00,-3.40E+00, 
-5.86231000E-01,-2.00E+00,-3.40E+00, 
-5.86157000E-01,-1.98E+00,-3.40E+00, 
-5.86084000E-01,-1.98E+00,-3.40E+00, 
-5.86011000E-01,-1.98E+00,-3.40E+00, 
-5.85938000E-01,-1.98E+00,-3.40E+00, 
-5.85864000E-01,-1.98E+00,-3.45E+00, 
-5.85791000E-01,-2.00E+00,-3.40E+00, 
-5.85718000E-01,-2.00E+00,-3.45E+00, 
-5.85645000E-01,-2.00E+00,-3.40E+00, 
-5.85571000E-01,-1.98E+00,-3.45E+00, 
-5.85498000E-01,-2.00E+00,-3.45E+00, 
-5.85425000E-01,-2.00E+00,-3.40E+00, 
-5.85352000E-01,-2.00E+00,-3.40E+00, 
-5.85278000E-01,-1.98E+00,-3.58E+00, 
-5.85205000E-01,-1.98E+00,-3.72E+00, 
-5.85132000E-01,-1.98E+00,-3.76E+00, 
-5.85059000E-01,-2.00E+00,-3.81E+00, 
-5.84985000E-01,-2.03E+00,-3.85E+00, 
-5.84912000E-01,-2.00E+00,-3.85E+00, 
-5.84839000E-01,-2.03E+00,-3.85E+00, 
-5.84766000E-01,-2.00E+00,-3.85E+00, 
-5.84692000E-01,-2.00E+00,-3.85E+00, 
-5.84619000E-01,-2.00E+00,-3.85E+00, 
-5.84546000E-01,-2.00E+00,-3.90E+00, 
-5.84473000E-01,-2.00E+00,-3.85E+00, 
-5.84399000E-01,-1.95E+00,-3.85E+00, 
-5.84326000E-01,-2.00E+00,-3.90E+00, 
-5.84253000E-01,-1.98E+00,-3.90E+00, 
-5.84180000E-01,-2.00E+00,-3.94E+00, 
-5.84106000E-01,-1.98E+00,-3.90E+00, 
-5.84033000E-01,-2.00E+00,-3.94E+00, 
-5.83960000E-01,-2.00E+00,-3.94E+00, 
-5.83887000E-01,-2.00E+00,-3.94E+00, 
-5.83813000E-01,-2.00E+00,-3.94E+00, 
-5.83740000E-01,-2.00E+00,-3.99E+00, 
-5.83667000E-01,-2.00E+00,-3.94E+00, 
-5.83594000E-01,-1.98E+00,-3.99E+00, 
-5.83521000E-01,-2.00E+00,-3.94E+00, 
-5.83447000E-01,-1.98E+00,-3.94E+00, 
-5.83374000E-01,-1.95E+00,-3.94E+00, 
-5.83301000E-01,-1.98E+00,-3.90E+00, 
-5.83228000E-01,-1.98E+00,-3.81E+00, 
-5.83154000E-01,-2.00E+00,-3.81E+00, 
-5.83081000E-01,-2.00E+00,-3.76E+00, 
-5.83008000E-01,-2.00E+00,-3.76E+00, 
-5.82935000E-01,-2.00E+00,-3.76E+00, 
-5.82861000E-01,-2.00E+00,-3.72E+00, 
-5.82788000E-01,-2.00E+00,-3.76E+00, 
-5.82715000E-01,-1.98E+00,-3.72E+00, 
-5.82642000E-01,-2.00E+00,-3.72E+00, 
-5.82568000E-01,-1.98E+00,-3.72E+00, 
-5.82495000E-01,-1.98E+00,-3.72E+00, 
-5.82422000E-01,-1.98E+00,-3.72E+00, 
-5.82349000E-01,-2.00E+00,-3.67E+00, 
